turn_idx,hallucination_rate,param_accuracy_mean,consistency_score_mean,tool_credit_mean,n,post_pivot_frac,context_tokens_mean
1,0.0,0.015927536231884056,0.0,0.0,138,0.0,303.8478260869565
2,0.0,0.12237681159420291,0.0,0.0,138,0.0,328.8695652173913
3,0.0,0.19594202898550728,0.0,0.0,138,0.0,354.6231884057971
4,0.0,0.17369565217391306,0.0,0.0,138,0.0,384.0217391304348
5,0.0,0.18815942028985508,0.0,0.14731884057971012,138,0.0,416.536231884058
6,0.0,0.38665942028985506,0.0,0.8805797101449275,138,0.0,470.28985507246375
7,0.0,0.4235144927536232,0.0,0.5887681159420289,138,0.0,543.5579710144928
8,0.0,0.3387391304347826,0.0,0.6302898550724638,138,0.0,614.5144927536232
9,0.0,0.29307246376811596,0.0,0.6176811594202898,138,0.0,690.7608695652174
10,0.021739130434782608,0.44165217391304346,0.0,0.8448550724637681,138,0.0,817.1231884057971
11,0.021739130434782608,0.5035869565217391,0.0,0.9353623188405799,138,0.0,950.7971014492754
12,0.014492753623188406,0.5451159420289855,0.0,0.8878260869565218,138,0.0,1086.391304347826
13,0.0,0.8785289855072463,0.0,4.163985507246377,138,1.0,1340.3695652173913
14,0.007246376811594203,0.7940289855072463,0.00241304347826087,0.2038405797101449,138,1.0,1527.108695652174
15,0.007246376811594203,0.24915942028985508,0.00241304347826087,0.06884057971014493,138,1.0,1575.2753623188405
16,0.0,0.1602971014492754,0.0,0.10144927536231885,138,1.0,1628.7898550724638
17,0.0,0.14947826086956523,0.0,0.0,69,1.0,1666.4202898550725
18,0.0,0.14094117647058824,0.0,0.0,34,1.0,1682.1470588235295
19,0.0,0.09163333333333332,0.0,0.0,30,1.0,1730.9333333333334
