turn_idx,hallucination_rate,param_accuracy_mean,consistency_score_mean,tool_credit_mean,n,post_pivot_frac,context_tokens_mean
1,0.0,0.022695652173913044,0.0,0.0,138,0.0,309.5652173913044
2,0.0,0.15606521739130436,0.0,0.0,138,0.0,343.89130434782606
3,0.0,0.2912246376811594,0.0,0.0,138,0.0,383.57971014492756
4,0.0,0.42690579710144927,0.0,0.0,138,0.0,424.82608695652175
5,0.0,0.5615797101449276,0.0,0.09181159420289856,138,0.0,473.3985507246377
6,0.0,0.6547753623188406,0.0,0.48768115942028983,138,0.0,537.4492753623189
7,0.0,0.6005434782608695,0.0,1.2965217391304347,138,0.0,618.2463768115942
8,0.0,0.6153260869565218,0.0,0.42630434782608695,138,0.0,723.3405797101449
9,0.0,0.602195652173913,0.0,0.3934782608695652,138,0.0,819.5869565217391
10,0.0,0.6043623188405797,0.0,1.1332608695652173,138,0.0,965.0652173913044
11,0.0,0.6350507246376812,0.0,0.9478985507246377,138,0.0,1120.3985507246377
12,0.0,0.6267246376811594,0.0,0.5298550724637682,138,0.0,1274.072463768116
13,0.0,0.8928840579710146,0.0,3.61,138,1.0,1513.8333333333333
14,0.0,0.6463768115942029,0.0,0.3146376811594203,138,1.0,1665.5942028985507
15,0.0,0.3005434782608696,0.0,0.27268115942028986,138,1.0,1724.0579710144928
16,0.0,0.2197463768115942,0.0,0.036231884057971016,138,1.0,1787.0289855072465
17,0.0,0.2278846153846154,0.0,0.049102564102564104,78,1.0,1868.871794871795
18,0.0,0.2090909090909091,0.0,0.2,44,1.0,1995.659090909091
19,0.0,0.22694736842105265,0.0,0.23236842105263159,38,1.0,2032.7368421052631
20,0.045454545454545456,0.27604545454545454,0.015136363636363637,0.4227272727272728,22,1.0,2274.6363636363635
